,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,roll_required,wav,pwav,der,er_index,ir,tr_index
2016-06-15,CLJ17,CLJ17,11,1.0,0.0,False,False,0.05075,0.0514,-0.012645914396887115,108.78984988,7.5025886843160805e-06,108.92774046
2016-06-16,CLJ17,CLJ17,12,1.0,0.0,False,False,0.049210000000000004,0.05075,-0.030344827586206935,105.48864064,7.5025886843160805e-06,105.62316419
2016-06-17,CLJ17,CLJ17,13,1.0,0.0,False,False,0.05101,0.049210000000000004,0.03657793131477338,109.34719689,7.5025886843160805e-06,109.48743348
2016-06-20,CLJ17,CLJ17,14,1.0,0.0,False,False,0.052399999999999995,0.05101,0.027249558910017457,112.32685977,2.2507934920090733e-05,112.47338208
2016-06-21,CLJ17,CLJ17,15,1.0,0.0,False,False,0.05253,0.052399999999999995,0.0024809160305343525,112.60553328,7.5025886843160805e-06,112.75326294
2016-06-22,CLJ17,CLJ17,16,1.0,0.0,False,False,0.05207,0.05253,-0.008756900818579938,111.61945779,7.5025886843160805e-06,111.76673974
2016-06-23,CLJ17,CLJ17,17,1.0,0.0,False,False,0.05307,0.05207,0.01920491645861344,113.76310015,7.5025886843160805e-06,113.91404918
2016-06-24,CLJ17,CLJ17,18,1.0,0.0,False,False,0.05072,0.05307,-0.04428113811946477,108.7255406,7.5025886843160805e-06,108.87066009
2016-06-27,CLJ17,CLJ17,19,1.0,0.0,False,False,0.04965,0.05072,-0.021096214511041045,106.43184327,2.2507934920090733e-05,106.57635174
2016-06-28,CLJ17,CLJ17,20,1.0,0.0,False,False,0.05137,0.04965,0.03464249748237669,110.11890813,7.5025886843160805e-06,110.26922233
2016-06-29,CLJ17,CLJ17,21,1.0,0.0,False,False,0.05339,0.05137,0.03932256180650184,114.4490657,7.5025886843160805e-06,114.60611794
2016-06-30,CLJ17,CLJ17,22,1.0,0.0,False,False,0.05183,0.05339,-0.029218954860460777,111.10498362,7.5025886843160805e-06,111.2583068
2016-07-01,CLJ17,CLN17,1,1.0,0.0,False,True,0.05261,0.05183,0.01504919930542159,112.77702466,7.5025886843160805e-06,112.93348996
2016-07-05,CLJ17,CLN17,2,1.0,0.0,False,True,0.05053,0.05261,-0.039536209846036896,108.31824855,3.445854070527332e-05,108.47241933
2016-07-06,CLJ17,CLN17,3,1.0,0.0,False,True,0.05135,0.05053,0.01622798337621223,110.07603529,8.614523860694945e-06,110.23364239
2016-07-07,CLJ17,CLN17,4,1.0,0.0,False,True,0.04918,0.05135,-0.042259006815968836,105.42433136,8.614523860694945e-06,105.57622775
2016-07-08,CLJ17,CLN17,5,1.0,0.0,False,True,0.04952,0.04918,0.006913379422529564,106.15316976,8.614523860694945e-06,106.30702576
2016-07-11,CLJ17,CLN17,6,0.8,0.2,False,True,0.049409999999999996,0.04952,-0.0022213247172860884,105.9173691,2.5843794212665472e-05,106.07363071
2016-07-12,CLJ17,CLN17,7,0.6,0.4,False,True,0.051412000000000006,0.049582,0.036908555524182374,109.8266262,8.614523860694945e-06,109.98956897
2016-07-13,CLJ17,CLN17,8,0.3999999999999999,0.6000000000000001,False,True,0.049512,0.051554,-0.039608953718431206,105.47650845,8.614523860694945e-06,105.63394474
2016-07-14,CLJ17,CLN17,9,0.19999999999999996,0.8,False,True,0.050558000000000006,0.049668,0.01791898204075082,107.36654011,8.614523860694945e-06,107.52770748
2016-07-15,CLJ17,CLN17,10,0.0,1.0,False,True,0.050606,0.050684,-0.0015389472022729889,107.20130867,8.614523860694945e-06,107.36315431
2016-07-18,CLJ17,CLN17,11,0.0,1.0,False,True,0.05017,0.05072,-0.010843848580441628,106.03883391,2.5843794212665472e-05,106.20169919
2016-07-19,CLJ17,CLN17,12,0.0,1.0,False,True,0.05021,0.05017,0.0007972892166632217,106.12337753,8.614523860694945e-06,106.28728754
2016-07-20,CLJ17,CLN17,13,0.0,1.0,False,True,0.05064,0.05021,0.008564031069508093,107.03222143,8.614523860694945e-06,107.19845078
2016-07-21,CLJ17,CLN17,14,0.0,1.0,False,True,0.049640000000000004,0.05064,-0.019747235387045703,104.91863096,8.614523860694945e-06,105.0825012
2016-07-22,CLJ17,CLN17,15,0.0,1.0,False,True,0.04906,0.049640000000000004,-0.011684125705076598,103.69274849,8.614523860694945e-06,103.85560929
2016-07-25,CLJ17,CLN17,16,0.0,1.0,False,True,0.04834,0.04906,-0.014675907052588588,102.17096335,2.5843794212665472e-05,102.33411804
2016-07-26,CLJ17,CLN17,17,0.0,1.0,False,True,0.04819,0.04834,-0.0031030202730658596,101.85392478,8.614523860694945e-06,102.01745476
2016-07-27,CLJ17,CLN17,18,0.0,1.0,False,True,0.04703,0.04819,-0.02407138410458587,99.40215983,8.614523860694945e-06,99.56263225
2016-07-28,CLJ17,CLN17,19,0.0,1.0,False,True,0.04628,0.04703,-0.01594726770146715,97.81696698,8.614523860694945e-06,97.97573799
2016-07-29,CLJ17,CLN17,20,0.0,1.0,False,True,0.046770000000000006,0.04628,0.010587726879861759,98.85262631,8.614523860694945e-06,99.01392236
