date,lead_ticker,next_ticker,bd_of_month,lead_weight,next_weight,is_mde,wav,pwav,der,er_index,ir,tr_index
2024-10-24,CLX24,CLZ24,18,0.0,1.0,False,0.07019,0.07077,-0.008195563091705438,112.26126336,0.0001262863107172052,133.5470085
2024-10-25,CLX24,CLZ24,19,0.0,1.0,False,0.07178,0.07019,0.022652799544094604,114.80429526,0.0001262863107172052,136.58908728
2024-10-28,CLX24,CLZ24,20,0.0,1.0,False,0.06738,0.07178,-0.06129841181387574,107.76697429,0.0003789067788626532,128.26814769
2024-10-29,CLX24,CLZ24,21,0.0,1.0,False,0.06720999999999999,0.06738,-0.0025230038587118475,107.4950778,0.0001262863107172052,127.96072517
2024-10-30,CLX24,CLZ24,22,0.0,1.0,False,0.06861,0.06720999999999999,0.020830233596191183,109.73422538,0.0001262863107172052,130.64233665
2024-10-31,CLX24,CLZ24,23,0.0,1.0,False,0.06926,0.06861,0.009473837632998139,110.77382961,0.0001262863107172052,131.89651927
2024-11-01,CLZ24,CLF25,1,1.0,0.0,False,0.06949,0.06926,0.003320820098180688,111.14168957,0.0001262863107172052,132.35118061
2024-11-04,CLZ24,CLF25,2,1.0,0.0,False,0.07147,0.06949,0.028493308389696548,114.30848401,0.0003704750515676203,136.17133643
2024-11-05,CLZ24,CLF25,3,1.0,0.0,False,0.07199,0.07147,0.007275780047572233,115.1401674,0.0001234764367978869,137.17890308
2024-11-06,CLZ24,CLF25,4,1.0,0.0,False,0.07169,0.07199,-0.004167245450756973,114.66035006,0.0001234764367978869,136.62418328
2024-11-07,CLZ24,CLF25,5,1.0,0.0,False,0.07236,0.07169,0.009345794392523255,115.73194212,0.0001234764367978869,137.91791468
2024-11-08,CLZ24,CLF25,6,0.8,0.2,False,0.07038,0.07236,-0.02736318407960192,112.56514768,0.0001234764367978869,134.161071
2024-11-11,CLZ24,CLF25,7,0.6,0.4,False,0.06801600000000001,0.070326,-0.03284702670420603,108.86771727,0.0003704750515676203,129.80398205
2024-11-12,CLZ24,CLF25,8,0.3999999999999999,0.6000000000000001,False,0.06806000000000001,0.067992,0.0010001176609013562,108.9765978,0.0001234764367978869,129.94982904
2024-11-13,CLZ24,CLF25,9,0.19999999999999996,0.8,False,0.068328,0.06803000000000001,0.004380420402763319,109.45396111,0.0001234764367978869,130.53510966
2024-11-14,CLZ24,CLF25,10,0.0,1.0,False,0.06856400000000001,0.06829400000000001,0.003953495182593025,109.88668682,0.0001234764367978869,131.0672976
2024-11-15,CLZ24,CLF25,11,0.0,1.0,False,0.06692000000000001,0.06853000000000001,-0.023493360572012234,107.30507926,0.0001234764367978869,128.00427004
2024-11-18,CLZ24,CLF25,12,0.0,1.0,False,0.06917,0.06692000000000001,0.03362223550508059,110.91291591,0.0003704750515676203,132.35548215
2024-11-19,CLZ24,CLF25,13,0.0,1.0,False,0.06924,0.06917,0.0010119994217145933,111.02515972,0.0001234764367978869,132.50576861
2024-11-20,CLZ24,CLF25,14,0.0,1.0,False,0.06875,0.06924,-0.007076834199884363,110.23945307,0.0001234764367978869,131.58440859
2024-11-21,CLZ24,CLF25,15,0.0,1.0,False,0.0701,0.06875,0.019636363636363452,112.40415506,0.0001234764367978869,134.18449546
2024-11-22,CLZ24,CLF25,16,0.0,1.0,False,0.07124,0.0701,0.01626248216833104,114.23212563,0.0001234764367978869,136.38323705
2024-11-25,CLZ24,CLF25,17,0.0,1.0,False,0.06894,0.07124,-0.03228523301515995,110.54411484,0.0003704750515676203,132.03059905
2024-11-26,CLZ24,CLF25,18,0.0,1.0,False,0.06877,0.06894,-0.0024659123875834243,110.27152274,0.0001234764367978869,131.72132583
2024-11-27,CLZ24,CLF25,19,0.0,1.0,False,0.06872,0.06877,-0.0007270612185544811,110.19134859,0.0001234764367978869,131.64182084
2024-11-29,CLZ24,CLF25,20,0.0,1.0,False,0.068,0.06872,-0.010477299185098876,109.03684086,0.0002469681200263363,130.29508143
2024-12-02,CLF25,CLG25,1,1.0,0.0,False,0.0681,0.068,0.0014705882352938904,109.19718916,0.0003704750515676203,130.53496293
2024-12-03,CLF25,CLG25,2,1.0,0.0,False,0.06994,0.0681,0.027019089574155775,112.1475978,0.0001195438330729992,134.07750344
2024-12-04,CLF25,CLG25,3,1.0,0.0,False,0.06854,0.06994,-0.020017157563625987,109.90272166,0.0001195438330729992,131.40968106
2024-12-05,CLF25,CLG25,4,1.0,0.0,False,0.0683,0.06854,-0.0035016049022469353,109.51788575,0.0001195438330729992,130.96524549
